Category,Description,Carbohydrate,Cholesterol,Fiber,Kilocalories,Protein,RefusePercentage,SugarTotal,HouseholdWeights.1stHouseholdWeight,HouseholdWeights.2ndHouseholdWeight,fat
BABYFOOD,"BABYFOOD,DINNER,BF STEW,TODD",5.5,13.0,1.100000024,51.0,5.1,0.0,1.3899999859999999,28.35,170.0,1.12
BABYFOOD,"BABYFOOD,DINNER,VEG&BF,STR",8.84,7.0,1.299999952,77.0,2.21,0.0,2.339999914,256.0,16.0,2.954
BABYFOOD,"BABYFOOD,DINNER,VEG&BF,JR",8.84,7.0,1.299999952,77.0,2.21,0.0,2.339999914,256.0,16.0,2.954
BABYFOOD,"BABYFOOD,DINNER,BF W/VEG",6.36,12.0,1.7999999519999998,96.0,2.03,0.0,2.160000086,113.0,0.0,6.86
BABYFOOD,"BABYFOOD,DINNER,VEG&BACON,STR",8.81,4.0,1.7000000480000002,69.0,1.92,0.0,1.769999981,256.0,16.0,2.787
BABYFOOD,"BABYFOOD,DINNER,VEG&HAM,STR",7.8,5.0,1.600000024,59.0,2.19,0.0,1.370000005,256.0,16.0,1.961
BABYFOOD,"BABYFOOD,DINNER,VEG&HAM,JR",8.65,3.0,1.0,60.0,2.02,0.0,0.99000001,256.0,16.0,1.742
BABYFOOD,"BABYFOOD,DINNER,VEG&LAMB,STR",6.9,6.0,1.100000024,52.0,2.0,0.0,0.939999998,256.0,16.0,1.8170000000000002
BABYFOOD,"BABYFOOD,DINNER,VEG&LAMB,JR",7.1,5.0,1.100000024,51.0,2.1,0.0,0.939999998,28.35,170.0,1.54
BABYFOOD,"BABYFOOD,DINNER,CHICK NOODLE,STR",9.08,16.0,2.099999905,66.0,2.69,0.0,2.5,16.0,28.0,1.9100000000000001
BABYFOOD,"BABYFOOD,DINNER,CHICK NOODLE,JR",8.79,9.0,0.8999999759999999,55.0,2.37,0.0,1.070000052,16.0,28.0,1.077
BABYFOOD,"BABYFOOD,DINNER,CHICK SOUP,STR",7.2,4.0,1.100000024,50.0,1.6,0.0,1.7200000290000002,0.0,16.0,1.603
BABYFOOD,"BABYFOOD,DINNER,CHICK STEW,TODD",6.4,29.0,0.600000024,78.0,5.2,0.0,1.679999948,16.0,28.0,3.57
BABYFOOD,"BABYFOOD,DINNER,VEG CHICK,STR",8.42,11.0,2.099999905,59.0,2.47,0.0,1.580000043,256.0,16.0,1.582
BABYFOOD,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",7.9,0.0,1.100000024,63.0,2.0,0.0,0.0,28.35,113.0,0.0
BABYFOOD,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",9.1,0.0,1.100000024,64.0,1.7,0.0,0.0,28.35,170.0,0.0
BABYFOOD,"BABYFOOD,DINNER,PASTA W/VEG",8.4,5.0,1.5,60.0,1.7,0.0,1.200000048,113.0,0.0,1.954
BABYFOOD,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",6.8,0.0,1.100000024,44.0,1.2,0.0,0.0,28.35,113.0,0.0
BABYFOOD,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",7.6,0.0,1.100000024,52.0,1.8,0.0,0.0,28.35,170.0,0.0
BABYFOOD,"BABYFOOD,DINNER,TURKEY&RICE,STR",7.94,5.0,0.8999999759999999,52.0,2.27,0.0,1.6599999669999999,16.0,28.0,1.092
BABYFOOD,"BABYFOOD,DINNER,TURKEY&RICE,JR",9.57,4.0,1.0,56.0,2.37,0.0,1.25,16.0,28.0,0.776
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,STR",7.62,4.0,1.5,48.0,2.32,0.0,1.5399999619999998,256.0,16.0,0.771
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,JR",7.55,4.0,0.8999999759999999,53.0,1.72,0.0,1.3600000140000001,256.0,16.0,1.5630000000000002
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,TODD",8.0,0.0,0.0,80.0,4.8,0.0,0.0,28.35,170.0,0.0
BABYFOOD,"BABYFOOD,DINNER,MACARONI&CHS,STR",8.95,7.0,0.699999988,67.0,3.14,0.0,1.269999981,28.35,113.0,1.9749999999999999
BABYFOOD,"BABYFOOD,DINNER,MACARONI&CHS,JR",8.2,6.0,0.300000012,61.0,2.6,0.0,1.320000052,28.35,170.0,1.8410000000000002
BABYFOOD,"BABYFOOD,VEG,GRN BNS,STR",6.29,0.0,2.200000048,27.0,1.2,0.0,1.879999995,240.0,15.0,0.155
BABYFOOD,"BABYFOOD,VEG,GRN BNS,JR",5.7,0.0,1.899999976,24.0,1.2,0.0,1.080000043,240.0,15.0,0.07900000000000001
BABYFOOD,"BABYFOOD,GRN BNS,DICES,TODD",5.7,0.0,1.299999952,29.0,1.2,0.0,1.059999943,28.35,128.0,0.154
BABYFOOD,"BABYFOOD,VEG,GRN BNS&POTATOES",9.0,5.0,1.399999976,62.0,2.2,0.0,2.349999905,113.0,0.0,1.788
BABYFOOD,"BABYFOOD,VEG,BEETS,STR",7.7,0.0,1.899999976,34.0,1.3,0.0,6.090000152999999,224.0,14.0,0.07100000000000001
BABYFOOD,"BABYFOOD,VEG,CARROTS,STR",6.0,0.0,1.7000000480000002,27.0,0.8,0.0,3.640000105,224.0,14.0,0.069
BABYFOOD,"BABYFOOD,VEG,CARROTS,JR",7.2,0.0,1.7000000480000002,32.0,0.8,0.0,3.160000086,224.0,14.0,0.138
Babyfood,"Babyfood, vegetables, squash, strained",5.73,0.0,0.8999999759999999,28.0,0.81,0.0,3.3699998860000004,16.46,28.0,0.08
BABYFOOD,"BABYFOOD,VEG,SQUASH,JR",5.73,0.0,0.8999999759999999,24.0,0.81,0.0,3.24000001,16.46,28.0,0.08
BABYFOOD,"BABYFOOD,VEG,SWT POTATOES,STR",13.2,0.0,1.5,57.0,1.1,0.0,4.0500001910000005,224.0,14.0,0.069
BABYFOOD,"BABYFOOD,VEG,SWT POTATOES,JR",13.9,0.0,1.5,60.0,1.1,0.0,4.239999771,224.0,14.0,0.069
BABYFOOD,"BABYFOOD,POTATOES,TODDLER",11.73,0.0,0.8999999759999999,52.0,1.0,0.0,0.910000026,163.0,10.0,0.042
BABYFOOD,"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",9.3,0.0,2.0,50.0,2.0,0.0,2.930000067,113.0,0.0,0.541
BABYFOOD,"BABYFOOD,APPLS,DICES,TODD",12.1,0.0,0.8999999759999999,51.0,0.2,0.0,10.82999992,28.35,0.0,0.054000000000000006
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC,STR",10.8,0.0,1.7000000480000002,41.0,0.2,0.0,9.869999886,16.0,28.0,0.096
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC,JR",10.3,0.0,1.7000000480000002,37.0,0.0,0.0,8.479999542,16.0,28.0,0.0
BABYFOOD,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",16.3,0.0,1.5,60.0,0.3,0.0,1.4099999669999999,15.0,28.0,0.0
BABYFOOD,"BABYFOOD,VEG,CORN,CRMD,STR",14.1,1.0,2.099999905,57.0,1.4,0.0,1.230000019,240.0,15.0,0.36800000000000005
BABYFOOD,"BABYFOOD,VEG,CORN,CRMD,JR",16.25,1.0,2.099999905,65.0,1.4,0.0,1.480000019,240.0,15.0,0.36800000000000005
BABYFOOD,"BABYFOOD,VEG,PEAS,STR",8.36,0.0,2.0,50.0,3.27,0.0,2.00999999,15.6,28.0,0.32
BABYFOOD,"BABYFOOD,PEAS,DICES,TODD",10.3,0.0,3.900000095,64.0,3.9,0.0,4.1300001139999996,28.35,0.0,0.5800000000000001
BABYFOOD,"BABYFOOD,VEG,SPINACH,CRMD,STR",5.7,5.0,1.7999999519999998,37.0,2.5,0.0,2.329999924,240.0,15.0,1.167
BABYFOOD,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR",17.3,0.0,1.5,63.0,0.3,0.0,1.399999976,15.0,28.0,0.0
BABYFOOD,"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR",15.3,0.0,1.600000024,56.0,0.4,0.0,0.379999995,15.0,28.0,0.064
BABYFOOD,"BABYFOOD,FRUIT,PEACHES,STR",14.48,0.0,1.299999952,65.0,0.94,0.0,11.5,16.72,28.0,0.07
BABYFOOD,"BABYFOOD,FRUIT,PEACHES,JR",14.48,0.0,1.299999952,65.0,0.94,0.0,11.5,16.72,28.0,0.07
BABYFOOD,"BABYFOOD,FRUIT,PEARS,STR",10.8,0.0,3.599999905,42.0,0.3,0.0,6.980000018999999,16.0,28.0,0.09999999999999999
BABYFOOD,"BABYFOOD,FRUIT,PEARS,JR",11.6,0.0,3.599999905,43.0,0.3,0.0,7.340000152999999,16.0,28.0,0.049999999999999996
BABYFOOD,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR",19.7,0.0,1.200000048,71.0,0.1,0.0,13.34000015,15.0,28.0,0.0
BABYFOOD,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR",20.5,0.0,1.200000048,74.0,0.1,0.0,13.64000034,15.0,28.0,0.0
BABYFOOD,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR",18.5,0.0,2.700000048,69.0,0.6,0.0,10.97000027,15.0,28.0,0.096
BABYFOOD,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR",18.7,0.0,2.700000048,70.0,0.6,0.0,10.97000027,28.35,170.0,0.096
BABYFOOD,"BABYFOOD,PRUNES,WO/VIT C,STR",23.52,0.0,2.700000048,101.0,1.0,0.0,21.20999908,15.0,71.0,0.19
BABYFOOD,"BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA",19.0,0.0,1.100000024,70.0,0.3,0.0,13.0,15.0,28.0,0.129
BABYFOOD,"BABYFOOD,PEARS,DICES,TODD",13.6,0.0,1.200000048,57.0,0.3,0.0,8.659999847,28.35,128.0,0.09899999999999999
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR",11.64,0.0,1.7999999519999998,44.0,0.2,0.0,9.25,16.0,28.0,0.10600000000000001
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR",12.4,0.0,1.7999999519999998,47.0,0.2,0.0,8.720000267,16.0,28.0,0.10899999999999999
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR",14.1,0.0,1.100000024,51.0,0.0,0.0,10.81000042,28.35,113.0,0.0
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,JR",14.1,0.0,1.100000024,51.0,0.0,0.0,10.60999966,28.35,170.0,0.0
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",16.16,0.0,1.600000024,66.0,0.37,0.0,4.349999905,16.0,170.0,0.1
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",10.1,0.0,1.5,37.0,0.1,0.0,0.0,28.35,113.0,0.051000000000000004
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR",10.5,0.0,1.5,39.0,0.1,0.0,0.0,28.35,170.0,0.052000000000000005
BABYFOOD,"BABYFOOD,FRUIT,APPL & RASPBERRY,STR",15.6,0.0,2.099999905,58.0,0.2,0.0,12.96000004,28.35,113.0,0.10300000000000001
BABYFOOD,"BABYFOOD,FRUIT,APPL & RASPBERRY,JR",15.4,0.0,2.099999905,58.0,0.2,0.0,12.96000004,28.35,170.0,0.10300000000000001
BABYFOOD,"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO",15.3,0.0,1.399999976,64.0,0.3,0.0,11.60000038,113.0,0.0,0.128
BABYFOOD,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",18.4,0.0,1.600000024,68.0,0.2,0.0,8.409999847,15.0,28.0,0.065
BABYFOOD,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR",17.8,0.0,1.600000024,65.0,0.2,0.0,10.72999954,15.0,28.0,0.0
BABYFOOD,"BABYFOOD,FRUIT,PEARS&PNAPPL,STR",10.9,0.0,2.599999905,41.0,0.3,0.0,7.7899999620000004,16.0,28.0,0.052
BABYFOOD,"BABYFOOD,FRUIT,PEARS&PNAPPL,JR",11.4,0.0,2.599999905,44.0,0.3,0.0,7.360000134,16.0,28.0,0.102
BABYFOOD,"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR",17.0,0.0,0.0,63.0,0.2,0.0,0.0,28.35,113.0,0.0
BABYFOOD,"BABYFOOD,PEACHES,DICES,TODD",11.8,0.0,0.800000012,51.0,0.5,0.0,9.489999771,28.35,128.0,0.14
BABYFOOD,"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR",18.9,0.0,1.399999976,70.0,0.2,0.0,0.0,28.35,113.0,0.0
BABYFOOD,"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",19.7,0.0,1.399999976,84.0,0.9,0.0,12.76000023,15.0,113.0,0.219
BABYFOOD,"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR",16.3,0.0,1.7999999519999998,61.0,0.2,0.0,13.93000031,28.35,113.0,0.11599999999999999
BABYFOOD,"BABYFOOD,FRUIT,APPL&BLUEBERRY,JR",16.6,0.0,1.7999999519999998,62.0,0.2,0.0,8.829999924,28.35,170.0,0.11599999999999999
BABYFOOD,"BABYFOOD,JUICE,APPLE",11.7,0.0,0.10000000099999999,47.0,0.0,0.0,10.69999981,31.7,127.0,0.051000000000000004
BABYFOOD,"BABYFOOD,APPLE-BANANA JUC",12.3,0.0,0.200000003,51.0,0.2,0.0,11.0,31.2,131.0,0.05600000000000001
BABYFOOD,"BABYFOOD,JUC,APPL&PEACH",10.5,0.0,0.10000000099999999,43.0,0.2,0.0,9.590000153,31.2,127.0,0.051000000000000004
BABYFOOD,"BABYFOOD,APPLE-CRANBERRY JUC",11.49,0.0,0.0,46.0,0.0,0.0,6.8800001139999996,31.2,0.0,0.02
BABYFOOD,"BABYFOOD,JUC,APPL&PLUM",12.3,0.0,0.10000000099999999,49.0,0.1,0.0,11.53999996,31.2,127.0,0.0
BABYFOOD,"BABYFOOD,JUC,APPL&PRUNE",18.0,0.0,0.10000000099999999,72.0,0.2,0.0,10.57999992,31.2,127.0,0.055
BABYFOOD,"BABYFOOD,JUICE,ORANGE",10.2,0.0,0.10000000099999999,45.0,0.6,0.0,8.260000229,31.2,127.0,0.14500000000000002
BABYFOOD,"BABYFOOD,JUC,ORANGE&APPL",10.1,0.0,0.0,43.0,0.4,0.0,0.0,31.2,127.0,0.0
BABYFOOD,"BABYFOOD,JUC,ORANGE&APPL&BANANA",11.5,0.0,0.10000000099999999,47.0,0.4,0.0,10.02999973,31.2,127.0,0.05
BABYFOOD,"BABYFOOD,JUC,ORANGE&APRICOT",10.9,0.0,0.10000000099999999,46.0,0.8,0.0,0.0,31.2,127.0,0.053000000000000005
BABYFOOD,"BABYFOOD,JUC,ORANGE&BANANA",11.9,0.0,0.0,50.0,0.7,0.0,0.0,31.2,127.0,0.0
BABYFOOD,"BABYFOOD,JUC,ORANGE&PNAPPL",11.7,0.0,0.10000000099999999,48.0,0.5,0.0,0.0,31.2,127.0,0.048
BABYFOOD,"BABYFOOD,JUC,PRUNE&ORANGE",16.8,0.0,0.0,70.0,0.6,0.0,0.0,31.2,127.0,0.0
BABYFOOD,"BABYFOOD,JUC,MXD FRUIT",11.6,0.0,0.10000000099999999,47.0,0.1,0.0,8.460000037999999,31.2,127.0,0.06
BABYFOOD,"BABYFOOD,CRL,BARLEY,DRY",75.3,0.0,8.199999809,365.0,11.1,0.0,3.099999905,2.4,15.0,2.843
BABYFOOD,"BABYFOOD,CRL,WHL WHEAT,W/APPLS,DRY",77.1,0.0,12.19999981,402.0,12.6,0.0,22.20000076,15.0,0.0,3.782
BABYFOOD,"BABYFOOD,CEREAL,MIXED,DRY",73.3,0.0,7.5,379.0,12.2,0.0,0.870000005,2.5,15.0,3.6719999999999997
BABYFOOD,"BABYFOOD,CRL,MXD,W/BANANAS,DRY",77.1,0.0,7.8000001910000005,391.0,10.7,0.0,6.679999828,2.5,15.0,3.803
BABYFOOD,"BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,STR",17.9,0.0,1.200000048,82.0,1.2,0.0,7.7899999620000004,28.35,113.0,0.41600000000000004
