Category,Description,Carbohydrate,Cholesterol,Fiber,Kilocalories,Protein,RefusePercentage,SugarTotal,HouseholdWeights.1stHouseholdWeight,HouseholdWeights.2ndHouseholdWeight,fat
BUTCHER BOY MEATS,"BUTCHER BOY MEATS,INC.,TURKEY FRANKS",4.66,104.0,0.200000003,239.0,13.45,0.0,2.49000001,56.0,0.0,16.448
YACHTWURST,"YACHTWURST,W/ PISTACHIO NUTS,CKD",1.4,64.0,0.0,268.0,14.8,0.0,0.0,56.0,0.0,7.9
CEREALS,"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,DRY",79.6,0.0,1.600000024,371.0,8.8,0.0,0.639999986,156.0,10.0,0.971
CEREAL WAFER STRAWS,"CEREAL WAFER STRAWS,KELLOGG,APPL JACKS CRL STRAWS",78.4,10.0,0.0,439.0,5.7,0.0,40.0,31.0,0.0,11.4
ACEROLA,"ACEROLA,(WEST INDIAN CHERRY),RAW",7.69,0.0,1.100000024,32.0,0.4,20.0,0.0,98.0,5.0,0.24
ACEROLA JUICE,"ACEROLA JUICE,RAW",4.8,0.0,0.300000012,23.0,0.4,0.0,4.5,242.0,30.0,0.24
APPLES,"APPLES,RAW,WITH SKIN",13.81,0.0,2.400000095,52.0,0.26,10.0,10.39000034,125.0,109.0,0.086
APPLE JUC,"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",11.3,0.0,0.200000003,46.0,0.1,0.0,9.619999886,248.0,31.0,0.067
APRICOTS,"APRICOTS,RAW",11.12,0.0,2.0,48.0,1.4,7.0,9.239999771,155.0,165.0,0.27399999999999997
APRICOT NECTAR,"APRICOT NECTAR,CND,WO/ VIT C",14.39,0.0,0.600000024,56.0,0.37,0.0,13.78999996,251.0,31.0,0.061
AVOCADOS,"AVOCADOS,RAW,ALL COMM VAR",8.53,0.0,6.699999809,160.0,2.0,26.0,0.660000026,150.0,230.0,13.740999999999998
BANANAS,"BANANAS,RAW",22.84,0.0,2.599999905,89.0,1.09,36.0,12.22999954,225.0,150.0,0.217
BLACKBERRIES,"BLACKBERRIES,RAW",9.61,0.0,5.3000001910000005,43.0,1.39,4.0,4.880000114,144.0,0.0,0.341
BLACKBERRY JUC,"BLACKBERRY JUC,CND",7.8,0.0,0.100000001,38.0,0.3,0.0,7.699999808999999,250.0,0.0,0.42
BLUEBERRIES,"BLUEBERRIES,RAW",14.49,0.0,2.400000095,57.0,0.74,5.0,9.960000037999999,147.72,68.0,0.221
BOYSENBERRIES,"BOYSENBERRIES,CND,HVY SYRUP",22.31,0.0,2.599999905,88.0,0.99,0.0,0.0,256.0,0.0,0.084
BREADFRUIT,"BREADFRUIT,RAW",27.12,0.0,4.900000095,103.0,1.07,22.0,11.0,220.0,96.0,0.14800000000000002
CARAMBOLA,"CARAMBOLA,(STARFRUIT),RAW",6.73,0.0,2.799999952,31.0,1.04,3.0,3.980000019,132.07,108.0,0.233
CARISSA,"CARISSA,(NATAL-PLUM),RAW",13.63,0.0,0.0,62.0,0.5,14.0,0.0,150.0,20.0,0.0
CHERIMOYA,"CHERIMOYA,RAW",17.7,0.0,2.299999952,74.0,1.65,21.0,0.0,312.11,156.0,0.0
CHERRIES,"CHERRIES,SOUR,RED,RAW",12.18,0.0,1.600000024,50.0,1.0,10.0,8.489999771,155.0,103.0,0.24
CRANBERRIES,"CRANBERRIES,RAW",12.2,0.0,4.599999905,46.0,0.39,2.0,4.039999962,110.0,100.0,0.084
CRANBERRY SAU,"CRANBERRY SAU,CND,SWTND",38.9,0.0,1.0,151.0,0.2,0.0,37.90000153,277.0,57.0,0.1
CRANBERRY-ORANGE RELISH,"CRANBERRY-ORANGE RELISH,CND",46.2,0.0,0.0,178.0,0.3,0.0,0.0,275.0,0.0,0.012
CURRANTS,"CURRANTS,EUROPEAN BLACK,RAW",15.38,0.0,0.0,63.0,1.4,2.0,0.0,112.0,0.0,0.271
CUSTARD-APPLE,"CUSTARD-APPLE,(BULLOCK'S-HEART),RAW",25.2,0.0,2.400000095,101.0,1.7,42.0,0.0,0.0,0.0,0.231
DATES,"DATES,DEGLET NOOR",75.03,0.0,8.0,282.0,2.45,10.0,63.34999847,147.09,7.0,0.08700000000000001
ELDERBERRIES,"ELDERBERRIES,RAW",18.4,0.0,7.0,73.0,0.66,0.0,0.0,145.0,0.0,0.35000000000000003
FIGS,"FIGS,RAW",19.18,0.0,2.900000095,74.0,0.75,1.0,16.26000023,64.0,50.0,0.27
GRAPE JUC,"GRAPE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",14.77,0.0,0.200000003,60.0,0.37,0.0,14.19999981,253.0,32.0,0.05
GRAPES,"GRAPES,AMERICAN TYPE (SLIP SKN),RAW",17.15,0.0,0.8999999759999999,67.0,0.63,42.0,16.25,92.0,2.0,0.23
GUAVAS,"GUAVAS,COMMON,RAW",14.32,0.0,5.400000095,68.0,2.55,22.0,8.920000076,165.0,55.0,0.76
JAVA-PLUM,"JAVA-PLUM,(JAMBOLAN),RAW",15.56,0.0,0.0,60.0,0.72,19.0,0.0,135.0,9.0,0.0
JUJUBE,"JUJUBE,RAW",20.23,0.0,0.0,79.0,1.2,7.0,0.0,0.0,0.0,0.0
KUMQUATS,"KUMQUATS,RAW",15.9,0.0,6.5,71.0,1.88,7.0,9.359999657000001,19.0,0.0,0.4280000000000001
LEMONS,"LEMONS,RAW,WITHOUT PEEL",9.32,0.0,2.799999952,29.0,1.1,47.0,2.5,212.0,58.0,0.139
LEMON JUC,"LEMON JUC,CND OR BTLD",6.48,0.0,0.400000006,21.0,0.4,0.0,2.400000095,244.0,15.0,0.134
LEMON PEEL,"LEMON PEEL,RAW",16.0,0.0,10.60000038,47.0,1.5,0.0,4.170000076,6.0,2.0,0.139
LIMES,"LIMES,RAW",10.54,0.0,2.799999952,30.0,0.7,16.0,1.6900000569999998,67.0,67.0,0.096
LIME JUC,"LIME JUC,CND OR BTLD,UNSWTND",6.69,0.0,0.400000006,21.0,0.25,0.0,1.370000005,246.0,31.0,0.11200000000000004
LOGANBERRIES,"LOGANBERRIES,FROZEN",13.02,0.0,5.3000001910000005,55.0,1.52,0.0,7.699999808999999,147.0,0.0,0.21700000000000005
LONGANS,"LONGANS,RAW",15.14,0.0,1.100000024,60.0,1.31,47.0,0.0,3.2,0.0,0.0
LOQUATS,"LOQUATS,RAW",12.14,0.0,1.7000000480000002,47.0,0.43,35.0,0.0,149.0,20.0,0.139
MAMMY-APPLE,"MAMMY-APPLE,(MAMEY),RAW",12.5,0.0,3.0,51.0,0.5,40.0,0.0,846.0,0.0,0.42
MANGOS,"MANGOS,RAW",17.0,0.0,1.7999999519999998,65.0,0.51,31.0,14.80000019,165.0,207.0,0.218
MANGOSTEEN,"MANGOSTEEN,CND,SYRUP PK",17.91,0.0,1.7999999519999998,73.0,0.41,0.0,0.0,196.0,216.0,0.0
MELONS,"MELONS,CANTALOUPE,RAW",8.16,0.0,0.8999999759999999,34.0,0.84,49.0,7.860000134,177.0,160.0,0.135
MELON BALLS,"MELON BALLS,FROZEN",7.94,0.0,0.699999988,33.0,0.84,0.0,0.0,173.0,0.0,0.168
MULBERRIES,"MULBERRIES,RAW",9.8,0.0,1.7000000480000002,43.0,1.44,0.0,8.100000381000001,140.0,15.0,0.275
NECTARINES,"NECTARINES,RAW",10.55,0.0,1.7000000480000002,44.0,1.06,9.0,7.889999866,142.68,129.0,0.226
OHELOBERRIES,"OHELOBERRIES,RAW",6.84,0.0,0.0,28.0,0.38,0.0,0.0,140.0,11.0,0.0
OLIVES,"OLIVES,RIPE,CND (SMALL-EXTRA LRG)",6.26,0.0,3.200000048,115.0,0.84,0.0,0.0,8.4,4.0,10.214
ORANGES,"ORANGES,RAW,ALL COMM VAR",11.75,0.0,2.400000095,47.0,0.94,27.0,9.350000381000001,180.0,184.0,0.063
ORANGE JUC,"ORANGE JUC,CND,UNSWTND",11.01,0.0,0.300000012,47.0,0.68,0.0,8.760000229,249.0,31.0,0.07700000000000001
TANGERINE JUC,"TANGERINE JUC,CND,SWTND",12.0,0.0,0.200000003,50.0,0.5,0.0,11.80000019,249.0,31.0,0.05600000000000002
PAPAYAS,"PAPAYAS,RAW",9.81,0.0,1.7999999519999998,39.0,0.61,33.0,5.900000095,140.0,230.0,0.11199999999999999
PAPAYA NECTAR,"PAPAYA NECTAR,CANNED",14.51,0.0,0.600000024,57.0,0.17,0.0,13.90999985,250.0,31.0,0.12300000000000001
PEACHES,"PEACHES,RAW",9.54,0.0,1.5,39.0,0.91,4.0,8.390000342999999,153.83,130.0,0.172
PEACH NECTAR,"PEACH NECTAR,CND,WO/ VIT C",13.92,0.0,0.600000024,54.0,0.27,0.0,13.31999969,249.0,31.0,0.021000000000000005
PEARS,"PEARS,RAW",15.46,0.0,3.099999905,58.0,0.38,10.0,9.800000191,148.04,178.0,0.061
PEAR NECTAR,"PEAR NECTAR,CND,WO/ VIT C",15.76,0.0,0.600000024,60.0,0.11,0.0,15.15999985,250.0,31.0,0.006999999999999999
PERSIMMONS,"PERSIMMONS,NATIVE,RAW",33.5,0.0,0.0,127.0,0.8,18.0,0.0,25.0,0.0,0.0
PINEAPPLE,"PINEAPPLE,RAW,ALL VAR",13.12,0.0,1.399999976,50.0,0.54,49.0,9.850000381000001,164.53,905.0,0.06200000000000001
PITANGA,"PITANGA,(SURINAM-CHERRY),RAW",7.49,0.0,0.0,33.0,0.8,12.0,0.0,173.0,7.0,0.0
PLANTAINS,"PLANTAINS,RAW",31.89,0.0,2.299999952,122.0,1.3,35.0,15.0,148.0,179.0,0.244
PLUMS,"PLUMS,RAW",11.42,0.0,1.399999976,46.0,0.7,6.0,9.920000076,165.0,66.0,0.195
POMEGRANATES,"POMEGRANATES,RAW",18.7,0.0,4.0,83.0,1.67,44.0,13.67000008,282.2,87.0,0.29200000000000004
PRUNES,"PRUNES,CND,HVY SYRUP PK,SOL&LIQUIDS",27.8,0.0,3.799999952,105.0,0.87,12.0,0.0,234.0,86.0,0.18899999999999997
PUMMELO,"PUMMELO,RAW",9.62,0.0,1.0,38.0,0.76,44.0,0.0,190.0,609.0,0.0
QUINCES,"QUINCES,RAW",15.3,0.0,1.899999976,57.0,0.4,39.0,0.0,92.0,0.0,0.096
RAISINS,"RAISINS,GOLDEN SEEDLESS",79.52,0.0,4.0,302.0,3.39,0.0,59.18999863,165.0,145.0,0.305
RAMBUTAN,"RAMBUTAN,CND,SYRUP PK",20.87,0.0,0.8999999759999999,82.0,0.65,0.0,0.0,150.0,214.0,0.0
RASPBERRIES,"RASPBERRIES,RAW",11.94,0.0,6.5,52.0,1.2,4.0,4.420000076,123.0,312.0,0.45799999999999996
RHUBARB,"RHUBARB,RAW",4.54,0.0,1.7999999519999998,21.0,0.9,25.0,1.100000024,122.0,51.0,0.191
ROSELLE,"ROSELLE,RAW",11.31,0.0,0.0,49.0,0.96,39.0,0.0,57.0,0.0,0.0
SAPODILLA,"SAPODILLA,RAW",19.96,0.0,5.3000001910000005,83.0,0.44,20.0,0.0,241.0,170.0,0.726
SAPOTES,"SAPOTES,(MARMALADE PLUM),RAW",33.76,0.0,2.599999905,134.0,2.12,29.0,0.0,225.0,0.0,0.0
SOURSOP,"SOURSOP,RAW",16.84,0.0,3.299999952,66.0,1.0,33.0,13.53999996,225.0,625.0,0.21
STRAWBERRIES,"STRAWBERRIES,RAW",7.68,0.0,2.0,32.0,0.67,6.0,4.889999866,152.0,232.0,0.213
TAMARINDS,"TAMARINDS,RAW",62.5,0.0,5.099999905,239.0,2.8,66.0,57.40000153,120.0,2.0,0.512
FEIJOA,"FEIJOA,RAW",10.63,0.0,0.0,49.0,1.24,25.0,0.0,243.0,50.0,0.0
DURIAN,"DURIAN,RAW OR FROZEN",27.09,0.0,3.799999952,147.0,1.47,68.0,0.0,243.0,602.0,0.0
ABIYUCH,"ABIYUCH,RAW",17.6,0.0,5.3000001910000005,69.0,1.5,0.0,8.550000191,114.0,0.0,0.014
ROWAL,"ROWAL,RAW",23.9,0.0,6.199999809,111.0,2.3,0.0,14.10000038,114.0,0.0,0.245
CLEMENTINES,"CLEMENTINES,RAW",12.02,0.0,1.7000000480000002,47.0,0.85,23.0,9.180000305,74.05,0.0,0.0
GUANABANA NECTAR,"GUANABANA NECTAR,CND",14.93,0.0,0.100000001,59.0,0.11,0.0,13.06999969,251.0,0.0,0.11900000000000001
GUAVA NECTAR,"GUAVA NECTAR,CND",14.87,0.0,1.0,57.0,0.09,0.0,12.36999989,251.0,0.0,0.0
MANGO NECTAR,"MANGO NECTAR,CND",13.12,0.0,0.300000012,51.0,0.11,0.0,12.44999981,251.0,0.0,0.047
TAMARIND NECTAR,"TAMARIND NECTAR,CND",14.73,0.0,0.5,57.0,0.09,0.0,12.69999981,251.0,0.0,0.0
POMEGRANATE JUC,"POMEGRANATE JUC,BTLD",13.13,0.0,0.100000001,54.0,0.15,0.0,12.64999962,249.03,31.0,0.18600000000000005
ALFALFA SEEDS,"ALFALFA SEEDS,SPROUTED,RAW",2.1,0.0,1.899999976,23.0,3.99,0.0,0.180000007,33.0,3.0,0.534
AMARANTH LEAVES,"AMARANTH LEAVES,RAW",4.02,0.0,0.0,23.0,2.46,6.0,0.0,28.0,14.0,0.31399999999999995
ARROWHEAD,"ARROWHEAD,RAW",20.23,0.0,0.0,99.0,5.33,25.0,0.0,25.0,12.0,0.0
ARTICHOKES,"ARTICHOKES,(GLOBE OR FRENCH),RAW",10.51,0.0,5.400000095,47.0,3.27,60.0,0.99000001,128.0,162.0,0.105
ASPARAGUS,"ASPARAGUS,RAW",3.88,0.0,2.099999905,20.0,2.2,47.0,1.879999995,134.0,12.0,0.09
BALSAM-PEAR (BITTER GOURD),"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW",3.29,0.0,0.0,30.0,5.3,62.0,0.0,4.0,24.0,0.0
BAMBOO SHOOTS,"BAMBOO SHOOTS,RAW",5.2,0.0,2.200000048,27.0,2.6,71.0,3.0,151.0,76.0,0.21
BEANS,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW",4.1,0.0,0.0,29.0,4.2,0.0,0.0,184.0,0.0,0.387
LIMA BNS,"LIMA BNS,IMMAT SEEDS,RAW",20.17,0.0,4.900000095,113.0,6.84,56.0,1.480000019,156.0,0.0,0.667
MUNG BNS,"MUNG BNS,MATURE SEEDS,SPROUTED,RAW",5.94,0.0,1.7999999519999998,30.0,3.04,0.0,4.130000114,104.0,340.0,0.126
BEETS,"BEETS,RAW",9.56,0.0,2.799999952,43.0,1.61,33.0,6.760000229,136.0,82.0,0.11900000000000001
BEET GRNS,"BEET GRNS,CKD,BLD,DRND,WO/SALT",5.46,0.0,2.900000095,27.0,2.57,0.0,0.600000024,144.0,72.0,0.139
BROCCOLI,"BROCCOLI,RAW",6.64,0.0,2.599999905,34.0,2.82,39.0,1.7000000480000002,90.93,608.0,0.08800000000000001
BRUSSELS SPROUTS,"BRUSSELS SPROUTS,RAW",8.95,0.0,3.799999952,43.0,3.38,10.0,2.200000048,88.0,19.0,0.23800000000000002
BURDOCK ROOT,"BURDOCK ROOT,RAW",17.34,0.0,3.299999952,72.0,1.53,25.0,2.900000095,118.0,156.0,0.121
CABBAGE,"CABBAGE,RAW",5.8,0.0,2.5,25.0,1.28,20.0,3.200000048,89.0,70.0,0.068
CARDOON,"CARDOON,RAW",4.07,0.0,1.600000024,17.0,0.7,51.0,0.0,178.0,0.0,0.06999999999999999
CARROTS,"CARROTS,RAW",9.58,0.0,2.799999952,41.0,0.93,11.0,4.739999771,128.0,110.0,0.168
CASSAVA,"CASSAVA,RAW",38.06,0.0,1.7999999519999998,160.0,1.36,0.0,1.7000000480000002,206.0,408.0,0.19699999999999998
CAULIFLOWER,"CAULIFLOWER,RAW",5.3,0.0,2.5,25.0,1.98,61.0,2.400000095,100.0,13.0,0.07
CELERIAC,"CELERIAC,RAW",9.2,0.0,1.7999999519999998,42.0,1.5,14.0,1.600000024,156.0,0.0,0.28500000000000003
CELERY,"CELERY,RAW",2.97,0.0,1.600000024,16.0,0.69,11.0,1.830000043,101.4,110.0,0.153
CELTUCE,"CELTUCE,RAW",3.65,0.0,1.7000000480000002,18.0,0.85,25.0,0.0,8.0,0.0,0.0
CHARD,"CHARD,SWISS,RAW",3.74,0.0,1.600000024,19.0,1.8,8.0,1.100000024,36.0,48.0,0.14
CHAYOTE,"CHAYOTE,FRUIT,RAW",4.51,0.0,1.7000000480000002,19.0,0.82,1.0,1.659999967,132.0,203.0,0.095
CHICORY,"CHICORY,WITLOOF,RAW",4.0,0.0,3.099999905,17.0,0.9,11.0,0.0,53.0,45.0,0.07
CHICORY GREENS,"CHICORY GREENS,RAW",4.7,0.0,4.0,23.0,1.7,18.0,0.699999988,29.0,0.0,0.21
CHICORY ROOTS,"CHICORY ROOTS,RAW",17.51,0.0,0.0,73.0,1.4,18.0,0.0,60.0,45.0,0.139
CHIVES,"CHIVES,RAW",4.35,0.0,2.5,30.0,3.27,0.0,1.850000024,3.0,1.0,0.508
COLESLAW,"COLESLAW,HOME-PREPARED",12.41,8.0,1.5,78.0,1.29,0.0,0.0,8.0,60.0,2.444
COLLARDS,"COLLARDS,RAW",5.69,0.0,3.599999905,30.0,2.45,43.0,0.460000008,36.0,0.0,0.28600000000000003
CORIANDER (CILANTRO) LEAVES,"CORIANDER (CILANTRO) LEAVES,RAW",3.67,0.0,2.799999952,23.0,2.13,15.0,0.870000005,4.0,20.0,0.32899999999999996
CORN,"CORN,SWEET,YELLOW,RAW",19.02,0.0,2.700000048,86.0,3.22,64.0,3.220000029,154.0,143.0,1.088
YARDLONG BEAN,"YARDLONG BEAN,RAW",8.35,0.0,0.0,47.0,2.8,5.0,0.0,91.0,12.0,0.31
CRESS,"CRESS,GARDEN,RAW",5.5,0.0,1.100000024,32.0,2.6,29.0,4.400000095,50.0,1.0,0.49
CUCUMBER,"CUCUMBER,WITH PEEL,RAW",3.63,0.0,0.5,15.0,0.65,3.0,1.669999957,52.0,301.0,0.07400000000000001
DANDELION GRNS,"DANDELION GRNS,CKD,BLD,DRND,WO/SALT",6.4,0.0,2.900000095,33.0,2.0,0.0,0.5,105.0,0.0,0.42
EDAMAME,"EDAMAME,FRZ,UNPREP",8.58,0.0,4.8000001910000005,110.0,10.25,0.0,2.480000019,118.33,432.0,0.0
ENDIVE,"ENDIVE,RAW",3.35,0.0,3.099999905,17.0,1.25,14.0,0.25,513.0,25.0,0.139
GARLIC,"GARLIC,RAW",33.06,0.0,2.099999905,149.0,6.36,13.0,1.0,136.0,3.0,0.34900000000000003
GINGER ROOT,"GINGER ROOT,RAW",17.77,0.0,2.0,80.0,1.82,7.0,1.7000000480000002,2.0,24.0,0.511
