,source,target
72,EZ Bar Curl,en 72
73,Hammer Curl,en 73
74,Incline Alternating Dumbbell Curl,en 74
75,Incline Alternating Hammer Curl,en 75
76,Incline Dumbbell Curl,en 76
77,Incline Hammer Curl,en 77
78,Kneeling Cable Curl,en 78
79,Lying Cable Curl,en 79
80,Lying Double Biceps Cable Curl,en 80
81,Lying High Cable Curl,en 81
82,Machine Curl,en 82
83,Overhead Double Biceps Cable Curl,en 83
84,Overhead Rope Cable Curl,en 84
85,Preacher Barbell Curl,en 85
86,Preacher Cable Curl,en 86
87,Preacher Dumbbell Curl,en 87
88,Preacher EZ Bar Curl,en 88
89,Preacher Hammer Dumbbell Curl,en 89
90,Preacher Single Arm Dumbbell Curl,en 90
91,Reverse Curl,en 91
92,Rope Cable Curl,en 92
93,Seated Alternating Curl,en 93
94,Seated Alternating Hammer Curl,en 94
95,Seated Dumbbell Curl,en 95
96,Seated Hammer Curl,en 96
97,Single Arm Barbell Curl,en 97
98,Single Arm Cable Curl,en 98
99,Single Arm Dumbbell Curl   Incline Bench,en 99
100,Spider Curl,en 100
101,Barbell Calf Raise,en 101
102,Calf Press,en 102
103,Calf Raise   Seated,en 103
104,Calf Raise   Standing,en 104
105,Dumbbell Calf Raise,en 105
106,Single Leg Calf Press,en 106
107,Single Leg Dumbbell Calf Raise,en 107
108,Smith Machine Calf Raise,en 108
109,Seated Calf Raise,en 109
110,Seated Single Leg Calf Raise,en 110
111,Alternating Dumbbell Bench Press,en 111
112,Barbell Bench Press,en 112
113,Chest Press,en 113
114,Decline Dumbbell Bench Press,en 114
115,Decline Smith Machine Bench Press,en 115
116,Dumbbell Bench Press,en 116
117,Dumbbell Push Up,en 117
118,Elevated Push Up,en 118
119,Flat Bench Press,en 119
120,Incline Alternating Dumbbell Bench Press,en 120
121,Incline Barbell Bench Press,en 121
122,Incline Bench Press,en 122
123,Incline Dumbbell Bench Press,en 123
124,Incline Hammer Dumbbell Bench Press,en 124
125,Incline Single Arm Dumbbell Bench Press,en 125
126,Incline Smith Machine Bench Press,en 126
127,Incline Twisting Dumbbell Bench Press,en 127
128,Kneeling Push Up,en 128
129,Machine Bench Press,en 129
130,Machine Vertical Bench Press,en 130
131,Medicine Ball Crossover Push Up,en 131
132,Push Up,en 132
133,Single Arm Dumbbell Bench Press,en 133
134,Smith Machine Bench Press,en 134
135,Twisting Dumbbell Bench Press,en 135
136,Wide Grip Push Up,en 136
137,Cable Crossover,en 137
138,Cable Fly,en 138
139,Decline Dumbbell Fly,en 139
140,Dumbbell Fly,en 140
141,High Cable Crossover,en 141
142,Incline Cable Fly,en 142
143,Incline Dumbbell Fly,en 143
144,Incline Twisting Dumbbell Fly,en 144
145,Low Cable Crossover,en 145
146,Pec Deck,en 146
147,Pec Deck Fly,en 147
148,Bent Knee Single Leg Hip Lift,en 148
149,Elevated Hip Lift,en 149
150,Elevated Single Leg Hip Lift,en 150
151,Hip Lift,en 151
152,Single Leg Hip Lift,en 152
153,Deadlift,en 153
154,Leg Curl,en 154
155,Lying Alternating Leg Curl,en 155
156,Lying Leg Curl,en 156
157,Lying Single Leg Curl,en 157
158,Seated Leg Curl,en 158
159,Barbell Diagonal Lunge,en 159
160,Barbell Hack Squat,en 160
161,Barbell Lunge,en 161
162,Barbell Reverse Lunge,en 162
163,Barbell Side Lunge,en 163
164,Barbell Split Squat,en 164
165,Barbell Squat,en 165
166,Barbell Step Up,en 166
167,Barbell Walking Lunge,en 167
168,Diagonal Lunge,en 168
169,Dumbbell Diagonal Lunge,en 169
170,Dumbbell Lunge,en 170
171,Dumbbell Reverse Lunge,en 171
172,Dumbbell Side Lunge,en 172
173,Dumbbell Split Squat,en 173
174,Dumbbell Squat,en 174
175,Dumbbell Step Up,en 175
176,Dumbbell Walking Lunge,en 176
177,Forward Lunge,en 177
178,Lateral Barbell Squat,en 178
179,Lateral Barbell Step Up,en 179
180,Lateral Squat,en 180
181,Lateral Step Up,en 181
182,Leg Press,en 182
183,Lunge,en 183
184,Lying Machine Squat,en 184
185,Machine Hack Squat,en 185
186,Reverse Lunge,en 186
187,Single Arm Barbell Side Squat,en 187
188,Single Arm Dumbbell Side Squat,en 188
189,Single Leg Barbell Squat,en 189
190,Single Leg Box Squat,en 190
191,Single Leg Dumbbell Box Squat,en 191
192,Single Leg Dumbbell Squat,en 192
193,Single Leg Squat,en 193
194,Smith Machine Squat,en 194
195,Split Squat,en 195
196,Step Up,en 196
197,Walking Lunge,en 197
198,Alternating Leg Extension,en 198
199,Leg Extension,en 199
200,Single Leg Extension,en 200
201,Alternating Superman,en 201
202,Back Raise,en 202
203,Quadruped Alternating Superman,en 203
204,Superman,en 204
205,Superman Hold,en 205
206,Arnold Dumbbell Press,en 206
207,Barbell Shoulder Press,en 207
208,Dumbbell Alternating Shoulder Press,en 208
209,Dumbbell Front Raise,en 209
210,Dumbbell Shoulder Press,en 210
211,Dumbbell Twisting Shoulder Press,en 211
212,Machine Shoulder Press,en 212
213,Seated Dumbbell Rear Delt Elbow Raise,en 213
214,Single Arm Dumbbell Shoulder Press,en 214
215,Smith Machine Shoulder Press,en 215
216,Barbell Front Raise,en 216
217,Bent Over Cable Rear Delt Raise,en 217
218,Bent Over Dumbbell Rear Delt Raise,en 218
219,Cable Front Raise,en 219
220,Cable Lateral Raise,en 220
221,Dumbbell Lateral Raise,en 221
222,Front Plate Raise,en 222
223,Kneeling Single Arm Cable Rear Delt Raise,en 223
224,Lying Dumbbell External Rotation,en 224
225,Lying Dumbbell Rear Delt Raise,en 225
226,Lying Single Arm Dumbbell Rear Delt Raise,en 226
227,Pec Deck Real Delt Extensions,en 227
228,Reverse Incline Dumbbell Rear Delt Raise,en 228
229,Seated Dumbbell Rear Delt Raise,en 229
230,Single Arm Cable Lateral Raise,en 230
231,Cable External Rotation,en 231
232,Close Grip Bench Press,en 232
233,Forward Lean Dips,en 233
234,Assisted Dips,en 234
235,Bench Dips,en 235
236,Diamond Push Up,en 236
237,Dips,en 237
238,Machine Dips,en 238
239,Decline Dumbbell Triceps Extension,en 239
240,Decline EZ Bar Tricep Extension,en 240
241,Decline Single Dumbbell Triceps Extension,en 241
242,Decline Single Arm Dumbbell Triceps Extension,en 242
243,Dumbbell Kickback,en 243
244,Incline EZ Bar Tricep Extension,en 244
245,Kneeling Cable Triceps Extension,en 245
246,Leaning Overhead Tricep Extension,en 246
247,Low Cable Triceps Extension,en 247
248,Lying Cable Triceps Extension,en 248
249,Lying EZ Bar Triceps Extension,en 249
250,Lying Overhead EZ Bar Tricep Extension,en 250
251,Lying Reverse EZ Bar Triceps Extension,en 251
252,Lying Single Dumbbell Triceps Extension,en 252
253,Lying Single Arm Dumbbell Triceps Extension,en 253
254,Lying Tricep Extensions,en 254
255,Overhead Dumbbell Triceps Extension,en 255
256,Overhead EZ Bar Triceps Extension,en 256
257,Overhead Rope Cable Tricep Extension,en 257
258,Overhead Single Dumbbell Tricep Extension,en 258
259,Overhead Single Arm Cable Tricep Extension,en 259
260,Overhead Single Arm Dumbbell Tricep Extension,en 260
261,Reverse Tricep Pushdown,en 261
262,Rope Triceps Pushdown,en 262
263,Single Arm Towel Triceps Pushdown,en 263
264,Single Arm Triceps Pushdown,en 264
265,Towel Triceps Pushdown,en 265
266,Tricep Extensions,en 266
267,Tricep Pushdown,en 268
268,Tricep Pushdown,en 268
269,V Bar Tricep Pushdown,en 269
270, teen 1 1 1 1 1 poor abdominals, Reverse Crunch Side Plank (hip lift) Cross Crunch Bent Knee Crunch
271, teen 1 1 1 1 1 poor triceps, Overhead Single Dumbbell Tricep Extension Lying Single Arm Dumbbell Triceps Extension Machine Dips Tricep Extensions
272, teen 1 1 1 1 1 poor biceps, Seated Dumbbell Curl Single Arm Barbell Curl Dumbbell Curl Hammer Curl
273, teen 1 1 1 1 1 poor shoulders, Lying Single Arm Dumbbell Rear Delt Raise Cable External Rotation Single Arm Dumbbell Shoulder Press Dumbbell Lateral Raise
274, teen 1 1 1 1 1 poor chest, Machine Bench Press Machine Vertical Bench Press Twisting Dumbbell Bench Press Push Up
275, teen 1 1 1 1 1 poor legs, Leg Extension Leg Curl Leg Press Machine Hack Squat
276, teen 1 1 1 1 1 poor back, Alternating Superman Quadruped Alternating Superman Bent Over Hammer Dumbbell Row Seated Row
277, teen 1 1 1 1 1 poor calves, Calf Raise   Seated Calf Raise   Standing Dumbbell Calf Raise Calf Press
278, teen 1 1 1 1 2 poor abdominals, Alternating Heel Touch Cross Crunch Bent Knee Sit Up Crunch
279, teen 1 1 1 1 2 poor triceps, Machine Dips Overhead Single Arm Dumbbell Tricep Extension Single Arm Towel Triceps Pushdown Kneeling Cable Triceps Extension
280, teen 1 1 1 1 2 poor biceps, Single Arm Barbell Curl Seated Alternating Curl Seated Dumbbell Curl Barbell Curl
281, teen 1 1 1 1 2 poor shoulders, Machine Shoulder Press Pec Deck Real Delt Extensions Cable Front Raise Arnold Dumbbell Press
282, teen 1 1 1 1 2 poor chest, Chest Press Pec Deck Fly Dumbbell Push Up Machine Bench Press
283, teen 1 1 1 1 2 poor legs, Forward Lunge Seated Leg Curl Barbell Squat Dumbbell Step Up
284, teen 1 1 1 1 2 poor back, Assisted Pull Up Seated Cable Row Seated Row Pull Up
285, teen 1 1 1 1 2 poor calves, Calf Press Calf Raise   Standing Dumbbell Calf Raise Calf Raise   Seated
286, teen 1 1 1 1 3 poor abdominals, Heel Touch Bent Knee Sit Up Crunch Crunch
287, teen 1 1 1 1 3 poor triceps, Lying Single Dumbbell Triceps Extension Dumbbell Kickback Towel Triceps Pushdown Overhead Dumbbell Triceps Extension
288, teen 1 1 1 1 3 poor biceps, Dumbbell Curl Seated Hammer Curl Single Arm Barbell Curl Alternating Dumbbell Curl
289, teen 1 1 1 1 3 poor shoulders, Lying Dumbbell Rear Delt Raise Seated Dumbbell Rear Delt Elbow Raise Dumbbell Shoulder Press Bent Over Cable Rear Delt Raise Kneeling Single Arm Cable Rear Delt Raise
290, teen 1 1 1 1 3 poor chest, Machine Bench Press Kneeling Push Up Twisting Dumbbell Bench Press Pec Deck Fly
291, teen 1 1 1 1 3 poor legs, Machine Hack Squat Dumbbell Squat Step Up Lying Machine Squat
292, teen 1 1 1 1 3 poor back, Bent Over Dumbbell Row Assisted Pull Up Seated Cable Row Superman Hold
293, teen 1 1 1 1 3 poor calves, Calf Press Seated Calf Raise Calf Raise   Standing Calf Raise   Seated
294, teen 1 1 1 2 1 poor abdominals, Crunch Side Plank (hip lift) Alternating Heel Touch Sit Up
295, teen 1 1 1 2 1 poor triceps, Tricep Pushdown Assisted Dips Lying Single Dumbbell Triceps Extension Kneeling Cable Triceps Extension
296, teen 1 1 1 2 1 poor biceps, Alternating Dumbbell Curl Seated Hammer Curl Barbell Curl Seated Dumbbell Curl
297, teen 1 1 1 2 1 poor shoulders, Single Arm Dumbbell Shoulder Press Lying Dumbbell Rear Delt Raise Lying Single Arm Dumbbell Rear Delt Raise Cable External Rotation
298, teen 1 1 1 2 1 poor chest, Push Up Dumbbell Push Up Kneeling Push Up Machine Bench Press
299, teen 1 1 1 2 1 poor legs, Step Up Barbell Side Lunge Barbell Lunge Lateral Barbell Squat
300, teen 1 1 1 2 1 poor back, Bent Over Hammer Dumbbell Row One Arm Dumbbell Row Seated Row Seated Cable Row
301, teen 1 1 1 2 1 poor calves, Dumbbell Calf Raise Seated Single Leg Calf Raise Smith Machine Calf Raise Smith Machine Calf Raise
302, teen 1 1 1 2 2 poor abdominals, Side Plank (hip lift) Heel Touch V Up Bent Knee Sit Up
303, teen 1 1 1 2 2 poor triceps, Kneeling Cable Triceps Extension Lying Tricep Extensions Tricep Extensions Machine Dips
304, teen 1 1 1 2 2 poor biceps, Seated Alternating Hammer Curl Alternating Hammer Curl Kneeling Cable Curl Single Arm Barbell Curl
305, teen 1 1 1 2 2 poor shoulders, Dumbbell Lateral Raise Pec Deck Real Delt Extensions Single Arm Cable Lateral Raise Cable Front Raise
306, teen 1 1 1 2 2 poor chest, Machine Vertical Bench Press Twisting Dumbbell Bench Press Push Up Wide Grip Push Up
307, teen 1 1 1 2 2 poor legs, Reverse Lunge Single Leg Dumbbell Squat Barbell Reverse Lunge Lying Alternating Leg Curl
308, teen 1 1 1 2 2 poor back, Seated Cable Row Assisted Pull Up Standing Cable Row Back Raise
309, teen 1 1 1 2 2 poor calves, Calf Press Smith Machine Calf Raise Seated Single Leg Calf Raise Smith Machine Calf Raise
310, teen 1 1 1 2 3 poor abdominals, Front Plank (from knees) Sit Up Heel Touch Crunch
311, teen 1 1 1 2 3 poor triceps, Dumbbell Kickback Tricep Pushdown Tricep Extensions Lying Single Arm Dumbbell Triceps Extension
312, teen 1 1 1 2 3 poor biceps, Dumbbell Curl Single Arm Barbell Curl Barbell Curl Kneeling Cable Curl
313, teen 1 1 1 2 3 poor shoulders, Lying Dumbbell Rear Delt Raise Dumbbell Shoulder Press Arnold Dumbbell Press Kneeling Single Arm Cable Rear Delt Raise Smith Machine Shoulder Press
314, teen 1 1 1 2 3 poor chest, Dumbbell Bench Press Chest Press Kneeling Push Up Dumbbell Fly
315, teen 1 1 1 2 3 poor legs, Lying Machine Squat Lying Alternating Leg Curl Dumbbell Side Lunge Single Leg Dumbbell Squat
316, teen 1 1 1 2 3 poor back, Machine Row Superman Standing Cable Row Bent Over Dumbbell Row
317, teen 1 1 1 2 3 poor calves, Seated Calf Raise Smith Machine Calf Raise Seated Single Leg Calf Raise Smith Machine Calf Raise
318, teen 1 1 1 3 1 poor abdominals, Crunch Bent Knee Crunch Reverse Crunch Bent Knee Sit Up
319, teen 1 1 1 3 1 poor triceps, Towel Triceps Pushdown V Bar Tricep Pushdown Assisted Dips Dumbbell Kickback
320, teen 1 1 1 3 1 poor biceps, Barbell Curl Alternating Dumbbell Curl Dumbbell Curl Kneeling Cable Curl
321, teen 1 1 1 3 1 poor shoulders, Lying Single Arm Dumbbell Rear Delt Raise Dumbbell Front Raise Seated Dumbbell Rear Delt Raise Machine Shoulder Press
322, teen 1 1 1 3 1 poor chest, Machine Vertical Bench Press Chest Press Pec Deck Fly Wide Grip Push Up
323, teen 1 1 1 3 1 poor legs, Lying Leg Curl Single Leg Squat Elevated Hip Lift Lateral Barbell Step Up Dumbbell Diagonal Lunge
324, teen 1 1 1 3 1 poor back, One Arm Dumbbell Row Back Raise Wide Grip Lat Pulldown Seated Cable Row
325, teen 1 1 1 3 1 poor calves, Seated Calf Raise Seated Single Leg Calf Raise Smith Machine Calf Raise Barbell Calf Raise Single Leg Calf Press
326, teen 1 1 1 3 2 poor abdominals, Crunch V Up Reverse Crunch Bent Knee Sit Up
327, teen 1 1 1 3 2 poor triceps, Lying Single Dumbbell Triceps Extension Machine Dips Lying Single Arm Dumbbell Triceps Extension V Bar Tricep Pushdown
328, teen 1 1 1 3 2 poor biceps, Kneeling Cable Curl Hammer Curl Seated Hammer Curl Seated Alternating Curl
329, teen 1 1 1 3 2 poor shoulders, Lying Single Arm Dumbbell Rear Delt Raise Cable Lateral Raise Dumbbell Shoulder Press Dumbbell Twisting Shoulder Press
330, teen 1 1 1 3 2 poor chest, Chest Press Machine Vertical Bench Press Machine Bench Press Dumbbell Bench Press
331, teen 1 1 1 3 2 poor legs, Lateral Squat Single Leg Extension Barbell Side Lunge Barbell Hack Squat Split Squat
332, teen 1 1 1 3 2 poor back, Single Arm Dumbbell Row Bent Over Barbell Row Machine Row Seated Row
333, teen 1 1 1 3 2 poor calves, Calf Raise   Seated Seated Single Leg Calf Raise Smith Machine Calf Raise Barbell Calf Raise Single Leg Calf Press
334, teen 1 1 1 3 3 poor abdominals, Heel Touch Bent Knee Sit Up Bent Knee Crunch Alternating Heel Touch
335, teen 1 1 1 3 3 poor triceps, Lying Tricep Extensions Kneeling Cable Triceps Extension Overhead Single Dumbbell Tricep Extension Towel Triceps Pushdown
336, teen 1 1 1 3 3 poor biceps, Seated Alternating Hammer Curl Seated Alternating Curl Single Arm Dumbbell Curl   Incline Bench Hammer Curl
337, teen 1 1 1 3 3 poor shoulders, Lying Dumbbell Rear Delt Raise Barbell Front Raise Arnold Dumbbell Press Kneeling Single Arm Cable Rear Delt Raise Smith Machine Shoulder Press
338, teen 1 1 1 3 3 poor chest, Twisting Dumbbell Bench Press Kneeling Push Up Dumbbell Fly Dumbbell Push Up
339, teen 1 1 1 3 3 poor legs, Lying Leg Curl Lying Alternating Leg Curl Smith Machine Squat Single Arm Barbell Side Squat Bent Knee Single Leg Hip Lift
340, teen 1 1 1 3 3 poor back, Lat Pulldown Superman Back Raise Machine Row
341, teen 1 1 1 3 3 poor calves, Calf Raise   Standing Seated Single Leg Calf Raise Smith Machine Calf Raise Barbell Calf Raise Single Leg Calf Press
342, teen 1 1 2 1 1 poor abdominals, Reverse Crunch Cross Crunch V Up Sit Up
343, teen 1 1 2 1 1 poor triceps, Tricep Pushdown Single Arm Towel Triceps Pushdown Assisted Dips Towel Triceps Pushdown
344, teen 1 1 2 1 1 poor biceps, Seated Alternating Curl Dumbbell Curl Barbell Curl Kneeling Cable Curl
345, teen 1 1 2 1 1 poor shoulders, Lying Single Arm Dumbbell Rear Delt Raise Dumbbell Lateral Raise Single Arm Dumbbell Shoulder Press Seated Dumbbell Rear Delt Raise
346, teen 1 1 2 1 1 poor chest, Wide Grip Push Up Machine Vertical Bench Press Pec Deck Fly Dumbbell Bench Press
347, teen 1 1 2 1 1 poor legs, Leg Press Hip Lift Lateral Squat Step Up
348, teen 1 1 2 1 1 poor back, Machine Row Reverse Grip Lat Pullown Single Arm Cable Row Bent Over Long Barbell Row
349, teen 1 1 2 1 1 poor calves, Dumbbell Calf Raise Calf Raise   Standing Seated Calf Raise Calf Press
350, teen 1 1 2 1 2 poor abdominals, Side Plank (hip lift) Alternating Heel Touch V Up Cross Crunch
351, teen 1 1 2 1 2 poor triceps, Lying Tricep Extensions V Bar Tricep Pushdown Overhead Single Arm Dumbbell Tricep Extension Lying Single Arm Dumbbell Triceps Extension
352, teen 1 1 2 1 2 poor biceps, Seated Alternating Curl Kneeling Cable Curl Single Arm Dumbbell Curl   Incline Bench Dumbbell Curl
353, teen 1 1 2 1 2 poor shoulders, Front Plate Raise Cable Lateral Raise Cable Front Raise Pec Deck Real Delt Extensions
354, teen 1 1 2 1 2 poor chest, Machine Bench Press Machine Vertical Bench Press Push Up Pec Deck
355, teen 1 1 2 1 2 poor legs, Leg Press Leg Curl Leg Extension Lateral Squat
356, teen 1 1 2 1 2 poor back, Close Grip Lat Pulldown Rope Cable Row Standing Single Arm Cable Row Single Arm Lat Pulldown
357, teen 1 1 2 1 2 poor calves, Dumbbell Calf Raise Calf Raise   Standing Calf Press Seated Calf Raise
358, teen 1 1 2 1 3 poor abdominals, Heel Touch Cross Crunch V Up Sit Up
359, teen 1 1 2 1 3 poor triceps, Lying Single Arm Dumbbell Triceps Extension Dumbbell Kickback Assisted Dips Tricep Extensions
360, teen 1 1 2 1 3 poor biceps, Barbell Curl Bicep Curl Alternating Hammer Curl Single Arm Dumbbell Curl   Incline Bench
361, teen 1 1 2 1 3 poor shoulders, Dumbbell Front Raise Barbell Front Raise Single Arm Cable Lateral Raise Reverse Incline Dumbbell Rear Delt Raise Barbell Shoulder Press
362, teen 1 1 2 1 3 poor chest, Push Up Wide Grip Push Up Chest Press Twisting Dumbbell Bench Press
363, teen 1 1 2 1 3 poor legs, Forward Lunge Lying Machine Squat Hip Lift Leg Curl
364, teen 1 1 2 1 3 poor back, Pull Up Bent Over Long Barbell Row Rope Cable Row Bent Over Alternating Dumbbell Row
365, teen 1 1 2 1 3 poor calves, Calf Raise   Standing Seated Calf Raise Dumbbell Calf Raise Calf Press
366, teen 1 1 2 2 1 poor abdominals, Alternating Heel Touch Bent Knee Sit Up Bent Knee Crunch Crunch
367, teen 1 1 2 2 1 poor triceps, Tricep Extensions Overhead Single Arm Dumbbell Tricep Extension Overhead Single Dumbbell Tricep Extension Lying Tricep Extensions
368, teen 1 1 2 2 1 poor biceps, Alternating Hammer Curl Single Arm Barbell Curl Seated Hammer Curl Barbell Curl
369, teen 1 1 2 2 1 poor shoulders, Seated Dumbbell Rear Delt Raise Front Plate Raise Lying Dumbbell External Rotation Dumbbell Lateral Raise
370, teen 1 1 2 2 1 poor chest, Dumbbell Fly Pec Deck Fly Machine Bench Press Wide Grip Push Up
371, teen 1 1 2 2 1 poor legs, Dumbbell Lunge Single Leg Dumbbell Squat Single Leg Extension Lateral Barbell Squat
372, teen 1 1 2 2 1 poor back, Standing Cable Row Bent Over Alternating Dumbbell Row Single Arm Cable Row Standing Single Arm Cable Row
373, teen 1 1 2 2 1 poor calves, Dumbbell Calf Raise Seated Single Leg Calf Raise Smith Machine Calf Raise Smith Machine Calf Raise
374, teen 1 1 2 2 2 poor abdominals, Crunch V Up Sit Up Side Plank (hip lift)
375, teen 1 1 2 2 2 poor triceps, Assisted Dips Dumbbell Kickback Machine Dips Kneeling Cable Triceps Extension
376, teen 1 1 2 2 2 poor biceps, Barbell Curl Hammer Curl Alternating Dumbbell Curl Dumbbell Curl
377, teen 1 1 2 2 2 poor shoulders, Front Plate Raise Dumbbell Twisting Shoulder Press Single Arm Cable Lateral Raise Arnold Dumbbell Press
378, teen 1 1 2 2 2 poor chest, Twisting Dumbbell Bench Press Dumbbell Bench Press Wide Grip Push Up Pec Deck Fly
379, teen 1 1 2 2 2 poor legs, Dumbbell Lunge Lying Alternating Leg Curl Barbell Side Lunge Single Arm Dumbbell Side Squat
380, teen 1 1 2 2 2 poor back, Bent Over Barbell Row Bent Over Alternating Dumbbell Row Single Arm Lat Pulldown Reverse Grip Lat Pullown
381, teen 1 1 2 2 2 poor calves, Calf Press Seated Single Leg Calf Raise Smith Machine Calf Raise Smith Machine Calf Raise
382, teen 1 1 2 2 3 poor abdominals, Bent Knee Crunch Bent Knee Sit Up Reverse Crunch Heel Touch
383, teen 1 1 2 2 3 poor triceps, Lying Tricep Extensions Dumbbell Kickback Assisted Dips Tricep Pushdown
384, teen 1 1 2 2 3 poor biceps, Machine Curl Single Arm Barbell Curl Single Arm Dumbbell Curl   Incline Bench Seated Hammer Curl
385, teen 1 1 2 2 3 poor shoulders, Front Plate Raise Barbell Front Raise Dumbbell Twisting Shoulder Press Bent Over Cable Rear Delt Raise Kneeling Single Arm Cable Rear Delt Raise
386, teen 1 1 2 2 3 poor chest, Twisting Dumbbell Bench Press Dumbbell Fly Kneeling Push Up Dumbbell Push Up
387, teen 1 1 2 2 3 poor legs, Lateral Step Up Barbell Side Lunge Barbell Lunge Elevated Hip Lift
388, teen 1 1 2 2 3 poor back, Pull Up Bent Over Long Barbell Row Rope Cable Row Single Arm Lat Pulldown
389, teen 1 1 2 2 3 poor calves, Calf Raise   Standing Smith Machine Calf Raise Seated Single Leg Calf Raise Smith Machine Calf Raise
390, teen 1 1 2 3 1 poor abdominals, Crunch Crunch Front Plank (from knees) Side Plank (hip lift)
391, teen 1 1 2 3 1 poor triceps, Overhead Single Arm Dumbbell Tricep Extension Overhead Dumbbell Triceps Extension Lying Single Arm Dumbbell Triceps Extension Single Arm Towel Triceps Pushdown
392, teen 1 1 2 3 1 poor biceps, Alternating Hammer Curl Bicep Curl Alternating Dumbbell Curl Hammer Curl
393, teen 1 1 2 3 1 poor shoulders, Seated Dumbbell Rear Delt Raise Dumbbell Alternating Shoulder Press Dumbbell Front Raise Machine Shoulder Press
394, teen 1 1 2 3 1 poor chest, Machine Vertical Bench Press Dumbbell Fly Dumbbell Bench Press Wide Grip Push Up
395, teen 1 1 2 3 1 poor legs, Lateral Step Up Smith Machine Squat Dumbbell Side Lunge Elevated Single Leg Hip Lift Single Leg Box Squat
396, teen 1 1 2 3 1 poor back, Quadruped Alternating Superman Single Arm Cable Row Reverse Grip Lat Pullown Bent Over Alternating Dumbbell Row
397, teen 1 1 2 3 1 poor calves, Calf Raise   Seated Seated Single Leg Calf Raise Smith Machine Calf Raise Single Leg Calf Press Single Leg Dumbbell Calf Raise
398, teen 1 1 2 3 2 poor abdominals, Bent Knee Sit Up Heel Touch Side Plank (hip lift) Crunch
399, teen 1 1 2 3 2 poor triceps, Dumbbell Kickback Kneeling Cable Triceps Extension Overhead Single Dumbbell Tricep Extension Overhead Single Arm Dumbbell Tricep Extension
400, teen 1 1 2 3 2 poor biceps, Hammer Curl Single Arm Barbell Curl Machine Curl Alternating Hammer Curl
401, teen 1 1 2 3 2 poor shoulders, Machine Shoulder Press Dumbbell Twisting Shoulder Press Bent Over Dumbbell Rear Delt Raise Single Arm Cable Lateral Raise
402, teen 1 1 2 3 2 poor chest, Twisting Dumbbell Bench Press Dumbbell Push Up Wide Grip Push Up Dumbbell Bench Press
403, teen 1 1 2 3 2 poor legs, Forward Lunge Lying Alternating Leg Curl Lying Single Leg Curl Single Leg Barbell Squat Dumbbell Split Squat
404, teen 1 1 2 3 2 poor back, One Arm Dumbbell Row Single Arm Cable Row Bent Over Alternating Dumbbell Row Rope Cable Row
405, teen 1 1 2 3 2 poor calves, Calf Press Smith Machine Calf Raise Seated Single Leg Calf Raise Single Leg Calf Press Barbell Calf Raise
406, teen 1 1 2 3 3 poor abdominals, Crunch Sit Up Reverse Crunch Alternating Heel Touch
