,ID,exerciseCategory,exerciseName,level,type,direction,modality,joint
80,,Biceps,Lying Double Biceps Cable Curl,Intermediate,Upper,Pull,C,S
81,,Biceps,Lying High Cable Curl,Advanced,Upper,Pull,C,S
82,,Biceps,Machine Curl,Beginner,Upper,Pull,M,S
83,,Biceps,Overhead Double Biceps Cable Curl,Advanced,Upper,Pull,C,S
84,,Biceps,Overhead Rope Cable Curl,Advanced,Upper,Pull,C,S
85,,Biceps,Preacher Barbell Curl,Advanced,Upper,Pull,FW,S
86,,Biceps,Preacher Cable Curl,Advanced,Upper,Pull,C,S
87,,Biceps,Preacher Dumbbell Curl,Intermediate,Upper,Pull,FW,S
88,,Biceps,Preacher EZ-Bar Curl,Advanced,Upper,Pull,FW,S
89,,Biceps,Preacher Hammer Dumbbell Curl,Intermediate,Upper,Pull,FW,S
90,,Biceps,Preacher Single-Arm Dumbbell Curl,Intermediate,Upper,Pull,FW,S
91,,Biceps,Reverse Curl,Advanced,Upper,Pull,FW,S
92,,Biceps,Rope Cable Curl,Intermediate,Upper,Pull,C,S
93,,Biceps,Seated Alternating Curl,Beginner,Upper,Pull,FW,S
94,,Biceps,Seated Alternating Hammer Curl,Beginner,Upper,Pull,FW,S
95,,Biceps,Seated Dumbbell Curl,Beginner,Upper,Pull,FW,S
96,,Biceps,Seated Hammer Curl,Beginner,Upper,Pull,FW,S
97,,Biceps,Single-Arm Barbell Curl,Beginner,Upper,Pull,FW,S
98,,Biceps,Single-Arm Cable Curl,Intermediate,Upper,Pull,FW,S
99,,Biceps,Single-Arm Dumbbell Curl w/ Incline Bench,Beginner,Upper,Pull,FW,S
100,,Biceps,Spider Curl,Advanced,Upper,Pull,FW,S
101,,Calves - Gastrocnemius,Barbell Calf Raise,Advanced,Lower,Push,FW,S
102,,Calves - Gastrocnemius,Calf Press,Beginner,Lower,Push,M,S
103,,Calves - Gastrocnemius,Calf Raise - Seated,Beginner,Lower,Push,FW,S
104,,Calves - Gastrocnemius,Calf Raise - Standing,Beginner,Lower,Push,FW,S
105,,Calves - Gastrocnemius,Dumbbell Calf Raise,Beginner,Lower,Push,FW,S
106,,Calves - Gastrocnemius,Single-Leg Calf Press,Advanced,Lower,Push,M,S
107,,Calves - Gastrocnemius,Single-Leg Dumbbell Calf Raise,Advanced,Lower,Push,FW,S
108,,Calves - Gastrocnemius,Smith Machine Calf Raise,Intermediate,Lower,Push,M,S
109,,Calves - Soleus,Seated Calf Raise,Beginner,Lower,Push,M,S
110,,Calves - Soleus,Seated Single-Leg Calf Raise,Intermediate,Lower,Push,M,S
111,,Chest - Pectoralis,Alternating Dumbbell Bench Press,Intermediate,Upper,Push,FW,M
112,,Chest - Pectoralis,Barbell Bench Press,Intermediate,Upper,Push,FW,M
113,,Chest - Pectoralis,Chest Press,Beginner,Upper,Push,M,M
114,,Chest - Pectoralis,Decline Dumbbell Bench Press,Advanced,Upper,Push,FW,M
115,,Chest - Pectoralis,Decline Smith Machine Bench Press,Advanced,Upper,Push,M,M
116,,Chest - Pectoralis,Dumbbell Bench Press,Beginner,Upper,Push,FW,M
117,,Chest - Pectoralis,Dumbbell Push-Up,Beginner,Upper,Push,FW,M
118,,Chest - Pectoralis,Elevated Push-Up,Advanced,Upper,Push,FW,M
119,,Chest - Pectoralis,Flat Bench Press,Intermediate,Upper,Push,FW,M
120,,Chest - Pectoralis,Incline Alternating Dumbbell Bench Press,Advanced,Upper,Push,FW,M
121,,Chest - Pectoralis,Incline Barbell Bench Press,Advanced,Upper,Push,FW,M
122,,Chest - Pectoralis,Incline Bench Press,Advanced,Upper,Push,FW,M
123,,Chest - Pectoralis,Incline Dumbbell Bench Press,Advanced,Upper,Push,FW,M
124,,Chest - Pectoralis,Incline Hammer Dumbbell Bench Press,Advanced,Upper,Push,FW,M
125,,Chest - Pectoralis,Incline Single-Arm Dumbbell Bench Press,Advanced,Upper,Push,FW,M
126,,Chest - Pectoralis,Incline Smith Machine Bench Press,Advanced,Upper,Push,M,M
127,,Chest - Pectoralis,Incline Twisting Dumbbell Bench Press,Advanced,Upper,Push,FW,M
128,,Chest - Pectoralis,Kneeling Push-Up,Beginner,Upper,Push,FW,M
129,,Chest - Pectoralis,Machine Bench Press,Beginner,Upper,Push,M,M
130,,Chest - Pectoralis,Machine Vertical Bench Press,Beginner,Upper,Push,M,M
131,,Chest - Pectoralis,Medicine Ball Crossover Push-Up,Advanced,Upper,Push,FW,M
132,,Chest - Pectoralis,Push-Up,Beginner,Upper,Push,FW,M
133,,Chest - Pectoralis,Single-Arm Dumbbell Bench Press,Intermediate,Upper,Push,FW,M
134,,Chest - Pectoralis,Smith Machine Bench Press,Intermediate,Upper,Push,M,M
135,,Chest - Pectoralis,Twisting Dumbbell Bench Press,Beginner,Upper,Push,FW,M
136,,Chest - Pectoralis,Wide-Grip Push-Up,Beginner,Upper,Push,FW,M
137,,Chest - Pectoralis,Cable Crossover,Advanced,Upper,Push,C,S
138,,Chest - Pectoralis,Cable Fly,Advanced,Upper,Push,C,S
139,,Chest - Pectoralis,Decline Dumbbell Fly,Advanced,Upper,Push,FW,S
140,,Chest - Pectoralis,Dumbbell Fly,Beginner,Upper,Push,FW,S
141,,Chest - Pectoralis,High Cable Crossover,Advanced,Upper,Push,C,S
142,,Chest - Pectoralis,Incline Cable Fly,Advanced,Upper,Push,C,S
143,,Chest - Pectoralis,Incline Dumbbell Fly,Advanced,Upper,Push,FW,S
144,,Chest - Pectoralis,Incline Twisting Dumbbell Fly,Advanced,Upper,Push,FW,S
145,,Chest - Pectoralis,Low Cable Crossover,Intermediate,Upper,Push,C,S
146,,Chest - Pectoralis,Pec Deck,Beginner,Upper,Push,M,S
147,,Chest - Pectoralis,Pec Deck Fly,Beginner,Upper,Push,M,S
148,,Legs - Hamstrings,Bent-Knee Single-Leg Hip Lift,Advanced,Lower,Pull,FW,M
149,,Legs - Hamstrings,Elevated Hip Lift,Intermediate,Lower,Pull,FW,M
150,,Legs - Hamstrings,Elevated Single-Leg Hip Lift,Advanced,Lower,Pull,FW,M
151,,Legs - Hamstrings,Hip Lift,Beginner,Lower,Pull,FW,M
152,,Legs - Hamstrings,Single-Leg Hip Lift,Intermediate,Lower,Pull,FW,M
153,,Legs - Hamstrings,Deadlift,Advanced,Lower,Pull,FW,S
154,,Legs - Hamstrings,Leg Curl,Beginner,Lower,Pull,M,S
155,,Legs - Hamstrings,Lying Alternating Leg Curl,Intermediate,Lower,Pull,M,S
156,,Legs - Hamstrings,Lying Leg Curl,Beginner,Lower,Pull,M,S
157,,Legs - Hamstrings,Lying Single-Leg Curl,Intermediate,Lower,Pull,M,S
158,,Legs - Hamstrings,Seated Leg Curl,Beginner,Lower,Pull,M,S
159,,Legs - Quadriceps,Barbell Diagonal Lunge,Advanced,Lower,Push,FW,M
160,,Legs - Quadriceps,Barbell Hack Squat,Advanced,Lower,Push,FW,M
161,,Legs - Quadriceps,Barbell Lunge,Intermediate,Lower,Push,FW,M
162,,Legs - Quadriceps,Barbell Reverse Lunge,Intermediate,Lower,Push,FW,M
163,,Legs - Quadriceps,Barbell Side Lunge,Intermediate,Lower,Push,FW,M
164,,Legs - Quadriceps,Barbell Split Squat,Advanced,Lower,Push,FW,M
165,,Legs - Quadriceps,Barbell Squat,Beginner,Lower,Push,FW,M
166,,Legs - Quadriceps,Barbell Step-Up,Advanced,Lower,Push,FW,M
167,,Legs - Quadriceps,Barbell Walking Lunge,Advanced,Lower,Push,FW,M
168,,Legs - Quadriceps,Diagonal Lunge,Intermediate,Lower,Push,FW,M
169,,Legs - Quadriceps,Dumbbell Diagonal Lunge,Advanced,Lower,Push,FW,M
170,,Legs - Quadriceps,Dumbbell Lunge,Beginner,Lower,Push,FW,M
171,,Legs - Quadriceps,Dumbbell Reverse Lunge,Intermediate,Lower,Push,FW,M
172,,Legs - Quadriceps,Dumbbell Side Lunge,Intermediate,Lower,Push,FW,M
173,,Legs - Quadriceps,Dumbbell Split Squat,Advanced,Lower,Push,FW,M
174,,Legs - Quadriceps,Dumbbell Squat,Beginner,Lower,Push,FW,M
175,,Legs - Quadriceps,Dumbbell Step-Up,Beginner,Lower,Push,FW,M
176,,Legs - Quadriceps,Dumbbell Walking Lunge,Advanced,Lower,Push,FW,M
177,,Legs - Quadriceps,Forward Lunge,Beginner,Lower,Push,FW,M
178,,Legs - Quadriceps,Lateral Barbell Squat,Intermediate,Lower,Push,FW,M
179,,Legs - Quadriceps,Lateral Barbell Step-Up,Advanced,Lower,Push,FW,M
180,,Legs - Quadriceps,Lateral Squat,Beginner,Lower,Push,FW,M
181,,Legs - Quadriceps,Lateral Step-Up,Beginner,Lower,Push,FW,M
182,,Legs - Quadriceps,Leg Press,Beginner,Lower,Push,M,M
183,,Legs - Quadriceps,Lunge,Beginner,Lower,Push,FW,M
184,,Legs - Quadriceps,Lying Machine Squat,Beginner,Lower,Push,M,M
185,,Legs - Quadriceps,Machine Hack Squat,Beginner,Lower,Push,M,M
186,,Legs - Quadriceps,Reverse Lunge,Beginner,Lower,Push,FW,M
187,,Legs - Quadriceps,Single-Arm Barbell Side Squat,Advanced,Lower,Push,FW,M
188,,Legs - Quadriceps,Single-Arm Dumbbell Side Squat,Intermediate,Lower,Push,FW,M
189,,Legs - Quadriceps,Single-Leg Barbell Squat,Advanced,Lower,Push,FW,M
190,,Legs - Quadriceps,Single-Leg Box Squat,Advanced,Lower,Push,FW,M
191,,Legs - Quadriceps,Single-Leg Dumbbell Box Squat,Advanced,Lower,Push,FW,M
192,,Legs - Quadriceps,Single-Leg Dumbbell Squat,Intermediate,Lower,Push,FW,M
193,,Legs - Quadriceps,Single-Leg Squat,Intermediate,Lower,Push,FW,M
194,,Legs - Quadriceps,Smith Machine Squat,Intermediate,Lower,Push,M,M
195,,Legs - Quadriceps,Split Squat,Advanced,Lower,Push,FW,M
196,,Legs - Quadriceps,Step-Up,Beginner,Lower,Push,FW,M
197,,Legs - Quadriceps,Walking Lunge,Intermediate,Lower,Push,FW,M
198,,Legs - Quadriceps,Alternating Leg Extension,Intermediate,Lower,Push,M,S
199,,Legs - Quadriceps,Leg Extension,Beginner,Lower,Push,M,S
200,,Legs - Quadriceps,Single-Leg Extension,Intermediate,Lower,Push,M,S
201,,Lower Back - Erector Spinae,Alternating Superman,Beginner,Core,Pull,FW,M
202,,Lower Back - Erector Spinae,Back Raise,Beginner,Core,Pull,FW,M
203,,Lower Back - Erector Spinae,Quadruped Alternating Superman,Beginner,Core,Pull,FW,M
204,,Lower Back - Erector Spinae,Superman,Beginner,Core,Pull,FW,M
205,,Lower Back - Erector Spinae,Superman Hold,Beginner,Core,Pull,FW,M
206,,Shoulders - Delts/Traps,Arnold Dumbbell Press,Intermediate,Upper,Push,FW,M
207,,Shoulders - Delts/Traps,Barbell Shoulder Press,Advanced,Upper,Push,FW,M
208,,Shoulders - Delts/Traps,Dumbbell Alternating Shoulder Press,Beginner,Upper,Push,FW,M
209,,Shoulders - Delts/Traps,Dumbbell Front Raise,Beginner,Upper,Push,FW,M
210,,Shoulders - Delts/Traps,Dumbbell Shoulder Press,Intermediate,Upper,Push,FW,M
211,,Shoulders - Delts/Traps,Dumbbell Twisting Shoulder Press,Intermediate,Upper,Push,FW,M
212,,Shoulders - Delts/Traps,Machine Shoulder Press,Beginner,Upper,Push,M,M
213,,Shoulders - Delts/Traps,Seated Dumbbell Rear Delt Elbow Raise,Intermediate,Upper,Push,FW,M
214,,Shoulders - Delts/Traps,Single-Arm Dumbbell Shoulder Press,Beginner,Upper,Push,FW,M
215,,Shoulders - Delts/Traps,Smith Machine Shoulder Press,Advanced,Upper,Push,M,M
216,,Shoulders - Delts/Traps,Barbell Front Raise,Intermediate,Upper,Push,FW,S
217,,Shoulders - Delts/Traps,Bent-Over Cable Rear Delt Raise,Advanced,Upper,Push,C,S
218,,Shoulders - Delts/Traps,Bent-Over Dumbbell Rear Delt Raise,Intermediate,Upper,Push,FW,S
219,,Shoulders - Delts/Traps,Cable Front Raise,Intermediate,Upper,Push,C,S
220,,Shoulders - Delts/Traps,Cable Lateral Raise,Intermediate,Upper,Push,C,S
221,,Shoulders - Delts/Traps,Dumbbell Lateral Raise,Beginner,Upper,Push,FW,S
222,,Shoulders - Delts/Traps,Front Plate Raise,Beginner,Upper,Push,FW,S
223,,Shoulders - Delts/Traps,Kneeling Single-Arm Cable Rear Delt Raise,Advanced,Upper,Push,C,S
224,,Shoulders - Delts/Traps,Lying Dumbbell External Rotation,Beginner,Upper,Push,FW,S
225,,Shoulders - Delts/Traps,Lying Dumbbell Rear Delt Raise,Beginner,Upper,Push,FW,S
226,,Shoulders - Delts/Traps,Lying Single-Arm Dumbbell Rear Delt Raise,Beginner,Upper,Push,FW,S
227,,Shoulders - Delts/Traps,Pec Deck Real Delt Extensions,Intermediate,Upper,Push,M,S
228,,Shoulders - Delts/Traps,Reverse Incline Dumbbell Rear Delt Raise,Advanced,Upper,Push,FW,S
229,,Shoulders - Delts/Traps,Seated Dumbbell Rear Delt Raise,Beginner,Upper,Push,FW,S
230,,Shoulders - Delts/Traps,Single-Arm Cable Lateral Raise,Intermediate,Upper,Push,C,S
231,,Shoulders - Rotator Cuff,Cable External Rotation,Beginner,Upper,Push,C,S
232,,Triceps,Close-Grip Bench Press,Advanced,Upper,Push,FW,M
233,,Triceps,Forward Lean Dips,Intermediate,Upper,Push,FW,M
234,,Triceps,Assisted Dips,Beginner,Upper,Push,FW,M
235,,Triceps,Bench Dips,Intermediate,Upper,Push,FW,M
236,,Triceps,Diamond Push-Up,Intermediate,Upper,Push,FW,M
237,,Triceps,Dips,Intermediate,Upper,Push,FW,M
238,,Triceps,Machine Dips,Beginner,Upper,Push,M,M
239,,Triceps,Decline Dumbbell Triceps Extension,Advanced,Upper,Push,FW,S
240,,Triceps,Decline EZ-Bar Tricep Extension,Advanced,Upper,Push,FW,S
241,,Triceps,Decline Single Dumbbell Triceps Extension,Advanced,Upper,Push,FW,S
242,,Triceps,Decline Single-Arm Dumbbell Triceps Extension,Advanced,Upper,Push,FW,S
243,,Triceps,Dumbbell Kickback,Beginner,Upper,Push,FW,S
244,,Triceps,Incline EZ-Bar Tricep Extension,Advanced,Upper,Push,FW,S
245,,Triceps,Kneeling Cable Triceps Extension,Beginner,Upper,Push,C,S
246,,Triceps,Leaning Overhead Tricep Extension,Intermediate,Upper,Push,FW,S
247,,Triceps,Low Cable Triceps Extension,Intermediate,Upper,Push,C,S
248,,Triceps,Lying Cable Triceps Extension,Intermediate,Upper,Push,C,S
249,,Triceps,Lying EZ-Bar Triceps Extension,Intermediate,Upper,Push,FW,S
250,,Triceps,Lying Overhead EZ-Bar Tricep Extension,Intermediate,Upper,Push,FW,S
251,,Triceps,Lying Reverse EZ-Bar Triceps Extension,Advanced,Upper,Push,FW,S
252,,Triceps,Lying Single Dumbbell Triceps Extension,Beginner,Upper,Push,FW,S
253,,Triceps,Lying Single-Arm Dumbbell Triceps Extension,Beginner,Upper,Push,FW,S
254,,Triceps,Lying Tricep Extensions,Beginner,Upper,Push,FW,S
255,,Triceps,Overhead Dumbbell Triceps Extension,Beginner,Upper,Push,FW,S
256,,Triceps,Overhead EZ-Bar Triceps Extension,Advanced,Upper,Push,FW,S
257,,Triceps,Overhead Rope Cable Tricep Extension,Intermediate,Upper,Push,C,S
258,,Triceps,Overhead Single Dumbbell Tricep Extension,Beginner,Upper,Push,FW,S
259,,Triceps,Overhead Single-Arm Cable Tricep Extension,Intermediate,Upper,Push,C,S
260,,Triceps,Overhead Single-Arm Dumbbell Tricep Extension,Beginner,Upper,Push,FW,S
261,,Triceps,Reverse Tricep Pushdown,Advanced,Upper,Push,C,S
262,,Triceps,Rope Triceps Pushdown,Intermediate,Upper,Push,C,S
263,,Triceps,Single-Arm Towel Triceps Pushdown,Beginner,Upper,Push,C,S
264,,Triceps,Single-Arm Triceps Pushdown,Intermediate,Upper,Push,C,S
265,,Triceps,Towel Triceps Pushdown,Beginner,Upper,Push,C,S
266,,Triceps,Tricep Extensions,Beginner,Upper,Push,FW,S
267,,Triceps,Tricep Pushdown,Beginner,Upper,Push,C,S
268,,Triceps,Tricep Pushdown,Beginner,Upper,Push,C,S
269,,Triceps,V-Bar Tricep Pushdown,Beginner,Upper,Push,C,S
